name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2018-08-31,34'0 ºC,21'0 ºC,26'9 ºC,33.8,21.0,26.9,14.5,48.3,0.0 l/m2,0,0.0,,,,26.9,14.3 m/s,41.2,1014.3,24.0,20.2,249.1,21.9,6.0,,2018-08-31T07:40:52,2018-08-31T20:48:39,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,1977-09-14,31'7 ºC,14'8 ºC,23'7 ºC,30.1,14.8,23.2,9.1,42.1,0.0 l/m2,0,0.0,,,,,15.9 m/s,112.1,1019.4,9.6,11.3,,,,,1977-09-14T07:54:12,1977-09-14T20:25:49,0.04,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08272099999,08226099999,08213099999,08223099999,08215099999"
madrid,2023-06-06,27'5 ºC,14'8 ºC,21'1 ºC,27.2,14.8,21.1,12.6,61.8,0.0 l/m2,0,0.0,,0.0,0.0,20.9,10.2 m/s,82.8,1014.2,32.0,16.5,318.6,27.7,8.0,10.0,2023-06-06T06:45:13,2023-06-06T21:42:00,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,F7959,08219099999,08223099999,08215099999"
madrid,1981-01-28,15'6 ºC,-4'0 ºC,4'0 ºC,15.6,-4.0,4.0,-3.0,64.2,0.0 l/m2,0,0.0,,,,,5.7 m/s,265.4,1033.2,1.1,8.6,,,,,1981-01-28T08:28:01,1981-01-28T18:28:00,0.75,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08213099999,08223099999,08220099999,08215099999"
madrid,1975-04-12,18'6 ºC,2'5 ºC,10'8 ºC,18.6,2.3,10.5,1.4,55.9,0.0 l/m2,0,0.0,,,,,22.0 m/s,42.1,1025.1,13.1,11.8,,,,,1975-04-12T06:42:06,1975-04-12T19:49:58,0.03,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08213099999,08223099999,08215099999"
madrid,2010-09-25,21'8 ºC,12'3 ºC,17'3 ºC,21.8,12.3,17.3,5.1,46.1,0.0 l/m2,0,0.0,,,,,17.4 m/s,9.7,1012.6,31.1,19.5,247.4,21.3,8.0,,2010-09-25T08:04:55,2010-09-25T20:07:23,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,1972-04-01,19'1 ºC,2'1 ºC,11'0 ºC,19.1,0.5,10.4,3.6,64.7,,0,0.0,,,,,24.1 m/s,61.2,,30.5,10.0,,,,,1972-04-01T06:58:29,1972-04-01T19:39:23,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,08227099999
madrid,1973-05-24,28'3 ºC,7'8 ºC,18'5 ºC,27.9,7.8,18.5,10.7,64.1,0.0 l/m2,0,0.0,,,,,10.4 m/s,49.3,1020.8,39.8,11.5,,,,,1973-05-24T05:51:17,1973-05-24T20:32:12,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08272099999,08224099999,08226099999,08213099999,08215099999"
madrid,2013-06-28,31'3 ºC,15'8 ºC,23'8 ºC,29.4,15.8,23.2,4.0,28.5,0.0 l/m2,0,0.0,,,,25.9,21.0 m/s,27.7,1021.7,3.1,28.2,353.5,30.5,10.0,,2013-06-28T06:47:00,2013-06-28T21:49:00,0.67,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,LEMD,LEVS,LEGT,08226099999,LETO,08219099999,08223099999,08215099999"
madrid,2017-06-18,39'0 ºC,22'0 ºC,31'0 ºC,36.1,22.0,29.6,6.7,23.7,0.0 l/m2,0,0.0,,,,,33.9 m/s,125.9,1012.6,21.7,20.4,361.6,31.2,10.0,,2017-06-18T06:44:16,2017-06-18T21:47:40,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08213099999,08219099999,08223099999,08215099999"
